COD_ACIDENTE;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL
DLJ6875;0;1;0;1;0;0;0;0;0;0;
OOR2304;1;1;0;0;0;0;0;0;0;0;
DTN4272;1;1;0;0;0;0;0;0;0;0;
HVZ9853;0;1;0;0;0;0;0;0;0;0;
POJ5418;1;1;0;0;0;0;0;0;0;0;
IIF9477;0;1;0;0;0;0;0;0;0;0;
MZH1186;2;0;0;0;0;0;0;0;0;0;
AFD2382;1;1;0;0;0;0;0;0;0;0;
DYC8697;2;0;0;0;0;0;0;0;0;0;
TXM0668;1;1;0;0;0;0;0;0;0;0;
AIP8551;1;1;0;0;0;0;0;0;0;0;
DEG1908;0;1;0;0;0;0;0;0;0;0;
RXT2344;0;2;0;0;0;0;0;0;0;0;
IZK3071;0;2;0;0;0;0;0;0;0;0;
QJA9893;1;1;0;0;0;0;0;0;0;0;
OHX8899;1;1;0;0;0;0;0;0;0;0;
BGW2560;0;3;0;0;0;0;0;0;0;0;
CBI9472;1;1;0;0;0;0;0;0;0;0;
ZFO9882;0;2;0;0;0;0;0;1;0;0;
BQL3129;1;1;0;0;0;0;0;0;0;0;
FFX5948;0;1;0;1;0;0;0;0;0;0;
KBO4627;1;1;0;0;0;0;0;0;0;0;
NKF5893;1;1;0;0;0;0;0;0;0;0;
AEK5922;1;1;0;0;0;0;0;0;0;0;
QNJ8846;1;1;0;0;0;0;0;0;0;0;
AGH3654;1;1;0;0;0;0;0;0;0;0;
QGA0695;0;1;0;0;0;0;0;0;0;0;
MRC8721;1;1;0;0;0;0;0;0;0;0;
UFG9977;1;1;0;0;0;0;0;0;0;0;
LSO9866;0;2;0;0;0;0;0;0;0;0;
QGL9484;1;1;0;0;0;0;0;0;0;0;
XSV0383;1;1;0;0;0;0;0;0;0;0;
EOZ9682;1;1;0;0;0;0;0;0;0;0;
DFE9796;0;1;0;0;1;0;0;0;0;0;
IKI5143;0;1;0;0;0;0;0;0;0;0;
SPS8958;0;0;1;0;0;0;0;0;0;0;
ARI8146;1;1;0;0;0;0;0;0;0;0;
ZGN5475;1;1;0;0;0;0;0;0;0;0;
QTI5082;0;3;0;0;0;0;0;0;0;0;
XBC0015;0;1;0;0;0;1;0;0;0;0;
OCD8583;1;1;0;0;0;0;0;0;0;0;
EIS1091;1;1;0;0;0;0;0;0;0;0;
FTM9879;0;2;0;0;0;0;0;0;0;0;
VNV9841;1;1;0;0;0;0;0;0;0;0;
IEN2410;1;0;0;0;0;0;0;0;0;0;
